0	0	0	0	0
8	0	0	0	0.01
16	0.01	0	0.01	0.01
24	0.01	0.01	0.02	0.01
32	0.03	0.02	0.05	0.02
40	0.09	0.05	0.14	0.025
48	0.25	0.11	0.3	0.05
56	0.48	0.19	0.53	0.09
64	0.85	0.31	0.86	0.14
72	1.42	0.46	1.32	0.21
80	2.07	0.66	1.89	0.3
88	2.95	0.89	2.58	0.4
96	5.35	1.18	3.41	0.53
104	6.87	1.5	4.41	0.69
112	8.63	1.88	5.54	0.86
120	10.64	2.3	6.85	1.05
128	12.87	2.77	6.3	1.28
136	15.38	3.32	9.93	1.53
144	18.19	3.91	11.74	1.81
152	21.25	4.57	13.72	2.15
160	24.58	5.3	15.88	2.45
168	28.26	6.09	18.24	2.82
176	32.18	6.94	20.83	3.22
184	36.44	7.87	23.54	3.63
192	41	8.85	26.4	4.1
200	45.8	9.9	29.7	4.55
208	51.05	11.03	33.3	5.05
216	56.45	12.25	37	5.61
224	62.11	13.52	39.36	6.17
232	68.23	14.85	43.12	6.78
240	74.45	16.26	47.06	7.41
248	81.37	17.73	51.16	8.05
255	87.3	19.08	54.91	8.65
